linha_original,acao,motivo,texto
598,mantida,via_nao_identificada,"Dipirona 500mg - cp Tomar 02 cp, de 6/6h, se dor"
599,mantida,via_nao_identificada,"Cetoprofeno 100mg - cp Tomar 01 cp, de 12/12h, por 05 dias Antiemético"
600,mantida,via_nao_identificada,"Metoclopramida 10mg - cp Tomar 01 cp, de 8/8h, se náusea ou vômito Terapia expulsiva"
601,mantida,via_nao_identificada,"Tansulosina 0,4mg - cp Tomar 01 cp, à noite, por 30 dias Orientações Ingerir 2 a 3 litros de água por dia"
602,mantida,via_nao_identificada,"Tansulosina 0,4 mg - cp Tomar 01 cp, à noite, até consulta com Urologista Inibidor 5 alfa-redutase"
603,mantida,via_nao_identificada,"Finasterida 5 mg - cp Tomar 01 cp, 1x ao dia, até consulta com Urologista Orientações Encaminhamento ao urologista Evitar líquidos antes de dormir Reduzir o consumo de cafeína e álcool Urinar duas vezes para esvaziar a bexiga completamente"
604,mantida,,Ceftriaxona 1g - IM Dose única USO ORAL Antibioticoterapia
605,mantida,via_nao_identificada,"Doxiciclina 100 mg - cp Tomar 01 cp, de, 12/12h, por 10 dias Sintomáticos"
606,mantida,via_nao_identificada,"Ibuprofeno 600 mg - cp Tomar 01 cp, de 8/8h, por até 03 dias"
607,mantida,via_nao_identificada,"Dipirona 1g - cp Tomar 01 cp, de 6/6h, se dor"
608,mantida,via_nao_identificada,"Levofloxacino 500 mg - cp Tomar 01 cp, de, 1x ao dia, por 10 dias Sintomáticos"
609,mantida,"dose_nao_identificada,via_nao_identificada","cp, de 12/12 h, por 10 dias."
610,mantida,,"Ceftriaxona 1g - IM ou EV Dose única, agora USO ORAL Antibioticoterapia"
611,mantida,via_nao_identificada,"Ciprofloxacino 500mg - cp Tomar 01 cp, de 12/12h, por 14 dias."
612,mantida,,Ceftriaxona 1g - IM Dose única USO ORAL Antibioticoterapia
613,mantida,via_nao_identificada,"Doxiciclina 100 mg - cp Tomar 01 cp, de, 12/12h, por 07dias Sintomáticos"
614,mantida,via_nao_identificada,"Pyridium 100 mg - cp Tomar 01 cp, de 8/8h, por 03 dias, se dor ao urinar."
615,mantida,,"Enoxaparina 40mg/0,4ml - Ampola Aplicar 1 mg/kg SC 12/12 horas por 05 dias Se INR entre 2-3 por 02 dias consecutivos, suspender enoxaparina após 5 dias e manter apenas varfarina."
616,mantida,,"Varfarina 5mg - cp Tomar 01 cp VO, 1x ao dia Iniciar junto com a enoxaparina Se INR entre 2-3 por 02 dias consecutivos, manter apenas varfarina por no mínimo"
617,mantida,"dose_nao_identificada,via_nao_identificada",meses.
618,mantida,,Enoxaparina 40mg/04ml - Ampola Aplicar 1 mg/kg SC 12/12 horas por 05 a
619,mantida,"dose_nao_identificada,via_nao_identificada",dias
620,mantida,,"Dabigatrana (Pradaxa) 150 mg - cp Tomar 01 cp VO, de 12/12h ao dia, por no mínimo 03 meses. Iniciar após a suspensão da enoxaparina. OU"
621,mantida,,"Edoxabana (Lixiana) 60 mg - cp Tomar 01 cp VO, 1x ao dia, por no mínimo"
622,mantida,"dose_nao_identificada,via_nao_identificada",meses. Iniciar após a suspensão da enoxaparina.
623,mantida,via_nao_identificada,"Rivaroxabana 15mg e 20mg - cp Tomar 01 cp de 15 mg, de 12/12 h por 21 dias. No 22º dia, mudar para 20 mg, 1x ao dia, por pelo menos 3 meses. OU"
624,mantida,via_nao_identificada,"Apixabana 10mg e 5mg - cp Tomar 01 cp de 10 mg, de 12/12 h por 07 dias. No 8º dia, mudar para 5 mg, de 12/12h, por pelo menos 3 meses."
625,mantida,,"Heparina não fracionada 25.000 unidades/5 ml Diluir 5 ml (25.000 UI) em SF 0,9 % 245 mL (concentração: 100 UI/mL) Ataque: 80 UI/kg EV Manutenção de 18 UI/kg/hora EV, em BIC Ajustar conforme dosagem de TTPA a cada 6 horas (relação 1,5-2,5)"
626,mantida,conduta_sem_medicamento,";111(3):436-59. MARTINS, M. R. Manual do Residente de Clínica Médica. 2a edição. Barueri: Manole, 2017. CIRURGIA GERAL ABDOMEN AGUDO OBSTRUTIVO DETZ DJ, et al. Small bowel obstruction. Current Problems in Surgery, 2020; 58 (7): 100893 Gama "
627,mantida,,"Dimedrinato + piridoxina 50 mg – VO, 1 comp, 8/8h, se náuseas ( Categoria B"
628,mantida,,"Metoclopramida 10 mg – VO, 1 comp, 8/8h, se náuseas ( Categoria B"
629,mantida,,"Meclizina 25 mg – VO, 1 comp, 8/8h, se náuseas ( Categoria B"
630,mantida,,"Prometazina 25 mg – VO, 1 comp à noite, podendo repetir pela manhã ( Categoria C 📌 Se sintoma predominante for pirose Antiácidos (hidróxido de magnésio + hidróxido de alumínio ± simeticona) ( Categoria B Fadiga CIAP-2: A04 – Debilidade / fa"
631,mantida,via_nao_identificada,Paracetamol 500mg
632,fundida_na_linha_anterior,fragmento,": Tomar 1 comprimido, VO, de 4/4h, se dor (pode associar com prednisona 5mg VO de 12/12h se dor intensa). 📍 preferência que sejam prescritos em ambiente de urgência/emergência, com monitorização:"
633,mantida,,"Miosan 5mg : Tomar 1 comprimido, VO, à noite, por 3 dias, se cefaleia intensa."
634,mantida,,"Dipirona 500mg EV se dor intensa. Decadron 01 amp IM se dor intensa. Tramal 01 amp EV se dor refratária. 📄 MODELO DE ENCAMINHAMENTO – PRONTO-SOCORRO / HOSPITAL Gestante ___ anos, IG ___ semanas (DUM /___ ), G_P_A , comparece ao serviço com "
635,mantida,,"Dimeticona 40–80 mg – VO, a cada 6 horas, se flatulência."
636,mantida,,"Hioscina 10 mg – VO, a cada 8 horas, se dor abdominal tipo cólica. Supositório de glicerina – uso retal, se constipação refratária às medidas não farmacológicas. Observação clínica: Priorizar sempre medidas não farmacológicas . Uso de medic"
637,mantida,via_nao_identificada,Nitrofurantoína 100 mg Tomar
638,mantida,,"1 comprimido, VO, a cada 6 horas, por 7 dias ⚠️ Evitar no final da gestação (próximo ao termo) pelo risco de hemólise neonatal (Categoria B)"
639,mantida,via_nao_identificada,Amoxicilina + clavulanato de potássio 500 mg + 125 mg Tomar
640,mantida,,"1 comprimido, VO, a cada 8 horas, por 7 a 10 dias"
641,mantida,via_nao_identificada,Cefalexina 500 mg Tomar
642,mantida,,"1 comprimido, VO, a cada 6 horas, por 7 a 10 dias"
643,mantida,via_nao_identificada,Cefuroxima 250 mg Tomar
644,mantida,,"Sulfato Ferroso 40 mg: tomar 1 comprimido, 1 a 3 vezes ao dia, 1 hora antes ou 2 horas após as refeições. Horário Sugerido: Manhã: 1 comprimido às 07:00, 1 hora antes do café da manhã; Almoço: 1 comprimido às 12:00, 1 hora antes do almoço; "
645,mantida,via_nao_identificada,Concentração: 20 mg/mL. Dose máxima por aplicação
646,fundida_na_linha_anterior,fragmento,": 200 mg (10 mL) diluídos em 100 mL de SF 0,9% EV, infusão lenta em 30–60 min."
647,mantida,via_nao_identificada,"Esquema habitual: 200 mg, 1–3 vezes por semana, até atingir a dose total calculada. Ferro carboximaltose (Ferinject®) Dose única elevada"
648,fundida_na_linha_anterior,fragmento,": até 1.000 mg em infusão de 15 min (diluído em 250 mL de SF 0,9%). Dose calculada pelo peso e nível de Hb. Vantagem: reposição completa em 1–2 aplicações. Ferro dextrano de baixo peso molecular (CosmoFer®) Pode ser administrado em infusão total única (“total dose infusion”). Maior risco de reação anafilática — exige teste prévio e monitorização rigorosa. Apresentação Concentração Dose máxima por aplicação Frequência Tempo de infusão Principais vantagens Cuidados/Observações Ferro sacarose (Venofer® e genéricos)"
649,mantida,via_nao_identificada,20 mg/mL
650,mantida,via_nao_identificada,"200 mg (10 mL) diluídos em 100 mL SF 0,9% 1–3×/semana até completar dose total 30–60 min Boa tolerabilidade, baixo risco de reação grave Necessário várias aplicações para reposição completa Ferro carboximaltose (Ferinject®)"
651,mantida,via_nao_identificada,50 mg/mL
652,mantida,via_nao_identificada,Até 1.000 mg por aplicação (máx. 15 mg/kg) Intervalo mínimo de 7 dias
653,mantida,via_nao_identificada,"15 min (250 mL SF 0,9%) Reposição rápida, 1–2 doses Mais caro, risco de hipofosfatemia Ferro dextrano de baixo peso molecular (CosmoFer®)"
654,mantida,via_nao_identificada,50 mg/mL Dose total única calculada (fórmula de Ganzoni)
655,mantida,conduta_sem_medicamento,"4–6 h (diluir em 500 mL SF 0,9%) Permite reposição completa de uma vez Maior risco de reação anafilática, exige teste prévio Ferro isomaltosídeo (Monoferric®)"
656,mantida,via_nao_identificada,100 mg/mL
657,mantida,via_nao_identificada,"Até 20 mg/kg (máx. 1.500 mg) Única ou fracionada 30–60 min Alta dose em 1 infusão, perfil seguro Disponibilidade limitada no Brasil Conjuntivite"
658,mantida,dose_nao_identificada,"Ciprofloxacino 0,3% colírio"
659,mantida,,"1 a 2 gotas no saco conjuntival, a cada 2 horas durante o dia nas primeiras 48 h; depois, reduzir para 1 a 2 gotas a cada 4 horas durante os próximos 5 dias. Tobramicina 0,3% colírio Em casos leves a moderados: 1 a 2 gotas a cada 4 horas at"
660,mantida,,"Colírio lubrificante (artificial tears) : 1 gota no(s) olho(s) afetado(s) 4 a 10 vezes ao dia por 7 a 10 dias. (Ex: Systane UL, Fresh Tears, Artelac) Lembrar de trocar fronhas e lençóis diariamente até resolução do quadro."
661,mantida,,"Lorata­dina 10 mg VO à noite por até 5 dias , se houver prurido ocular importante (antialérgico como adjuvante)."
662,mantida,dose_nao_identificada,"Colírio anti‑alérgico (antihistamínico + estabilizador de mastócitos): Olopatadina 0,1%"
663,mantida,,"1 gota em cada olho 2x/dia (manhã e noite) OU Cetotifen 0,025% (Zaditor®, Alaway®) 1 gota em cada olho 2x/dia ≥ eficácia rápida e segurança comparada a monoterapia Anti-histamínico oral, se sintomas sistêmicos ou rinoconjuntivite concomitan"
664,mantida,,"Loratadina 10 mg VO, 1x/dia à noite por até 7 dias Lubrificante ocular sem conservantes: Lágrimas artificiais (Ex: Systane UL, Artelac, Fresh Tears), conforme necessidade até 4–6x/dia Compressas frias ou geladas aplicadas sobre os olhos vár"
665,mantida,,"500–1000 mg VO: tomar 1 comprimido (500 mg) a 2 comprimidos (1 g) a cada 6 horas se dor, máximo 4 g/dia. Escopolamina"
666,mantida,,"10 mg VO: tomar 1 comprimido a cada 8 horas se dor tipo cólica. SRO (soro caseiro ou industrializado): ingerir pequenos volumes ao longo do dia, até atingir 2–3 L/dia. Horário Sugerido: Dipirona: 06:00 / 12:00 / 18:00 / 24:00 Escopolamina ("
667,mantida,,"750 mg VO a cada 6h se febre ou dor, máximo 4 g/dia. SRO para hidratação, ingerir pequenos volumes ao longo do dia. Fadiga / cansaço persistente CIAP-2: A04 – Fraqueza/Fadiga Geral | CID-10: R53.8 – Outros sintomas e sinais relativos ao est"
668,mantida,,"500–1000 mg VO: tomar 1 a 2 comprimidos (500 mg cada) a cada 6 horas, se dor ou febre, máximo de 4 g/dia. Solução de Reidratação Oral (SRO) : ingerir em pequenos volumes ao longo do dia, até atingir 2–3 litros/dia, alternando com água e chá"
669,mantida,,"500–1000 mg VO: tomar 1 a 2 comprimidos (500 mg cada) a cada 6 horas, se dor ou febre, máximo de 4 g/dia. Solução de Reidratação Oral (SRO) : ingerir pequenos volumes ao longo do dia, até atingir 2–3 L/dia, alternando com água e chás claros"
670,mantida,,3 gotas no ouvido 2x/dia por 7 dias. Observação: Não utilizar se o tímpano estiver perfurado. Oto-Betnovate (Betametasona + Clorfenesina):
671,mantida,,3 gotas no ouvido 3x/dia por 7 dias. USO ORAL
672,mantida,,Cefalexina 500 mg: Tomar 1 comprimido VO a cada 6 horas por 7-14 dias.
673,mantida,,Claritromicina 500 mg: Tomar 1 comprimido VO a cada 12 horas. Analgésicos:
674,mantida,,"Paracetamol 750 mg - 1 g: Tomar 1 comprimido por via oral a cada 6 horas, por até 5 dias."
675,mantida,,"Dipirona 500 mg - 1 g: Tomar 1 comprimido por via oral a cada 6 horas, por até 5 dias."
676,mantida,via_nao_identificada,Amoxicilina 500 mg:
677,mantida,,"1 comprimido por via oral a cada 8 horas, por 10 dias."
678,mantida,via_nao_identificada,Azitromicina 500 mg:
679,mantida,,"1 comprimido por via oral a cada 24 horas, por 3 a 5 dias (dependendo da gravidade)."
680,mantida,via_nao_identificada,Ibuprofeno 300 mg:
681,mantida,,"1 comprimido por via oral a cada 8 horas, por 3 dias (para controle de dor e inflamação). Alternativa em Caso de Alergia ou Intolerância:"
682,mantida,via_nao_identificada,Sulfametoxazol + Trimetoprima (400 mg + 80 mg):
683,mantida,,"2 comprimidos por via oral a cada 12 horas, por 10 dias. Se Falha Terapêutica ou Recorrência:"
684,mantida,via_nao_identificada,Amoxicilina + Clavulanato de Potássio (500 mg + 125 mg):
685,mantida,,"1 comprimido por via oral a cada 8 horas, por 10 dias."
686,mantida,,"Ciprofloxacino Otológico 0,3%: aplicar 4 gotas no ouvido afetado a cada 12 horas, por 14 dias."
687,mantida,via_nao_identificada,Ibuprofeno 300 mg:
688,mantida,,"1 comprimido por via oral a cada 8 horas, por 3 dias (para controle de dor e inflamação) Perda de apetite (investigação inicial) CIAP-2: T02 – Perda de apetite | CID-10: R63.0 – Anorexia"
689,mantida,,"Complexo vitamínico polimineral (quando indicado pela avaliação nutricional): 1 comprimido VO/dia por 30 dias. Solução de Reidratação Oral (SRO) : ingerir pequenos volumes ao longo do dia, até atingir 2–3 L/dia. Orientações alimentares Frac"
690,mantida,,"Complexo vitamínico polimineral (quando indicado) : 1 comprimido VO/dia por 30 dias. Solução de Reidratação Oral (SRO) : ingerir pequenos volumes ao longo do dia, até atingir 2–3 L/dia. Orientações alimentares Fracionar refeições em 5–6 por"
691,mantida,,"(ex.: loratadina 10 mg VO 1x/dia, por até 7 dias, se prurido intenso). Solução de Reidratação Oral (SRO) : ingerir pequenos volumes ao longo do dia, até atingir 2–3 L/dia. Orientações gerais Evitar banhos quentes e demorados. Usar sabonete "
692,mantida,,"50 mg VO: tomar 1 comprimido a cada 8 horas se tontura intensa ou náuseas (uso por no máximo 3 dias). Solução de Reidratação Oral (SRO) : ingerir pequenos volumes ao longo do dia, até atingir 2–3 L/dia. Orientações gerais Evitar mudanças br"
693,mantida,,"Vacina antirrábica: Esquema de 4 doses, via intramuscular, no músculo deltóide (adultos) ou vasto lateral da coxa (crianças pequenas). Aplicações nos dias 0, 3, 7 e 14. 1ª dose: aplicada hoje (D0) em deltóide direito; 2ª dose: programada pa"
694,mantida,,"0,5 mL via intramuscular em deltóide esquerdo. Se esquema vacinal prévio completo → reforço a cada 10 anos (ou a cada 5 anos em situações de risco). Se vacinação incompleta ou desconhecida → iniciar/atualizar esquema de 3 doses (0, 2 e 6 me"
695,mantida,,"Analgésico se dor: Paracetamol 500 mg VO, 1 cp 6/6h se necessário (máx 4 g/dia). Soro antirrábico heterólogo/humano (quando indicado): dose calculada de acordo com o peso (40 UI/kg – soro heterólogo; 20 UI/kg – soro humano), aplicada infilt"
696,mantida,,"Vacina antirrábica (VeroCell ou equivalente): esquema de 4 doses IM, aplicadas em deltóide (adultos) ou vasto lateral da coxa (crianças). 1ª dose (D0): aplicada hoje em deltóide direito; 2ª dose (D3); 3ª dose (D7); 4ª dose (D14). Soro antir"
697,mantida,,"0,5 mL IM em deltóide esquerdo. Se esquema prévio completo → reforço a cada 10 anos (ou 5 anos em acidentes). Se vacinação incompleta ou desconhecida → iniciar/atualizar 3 doses (0, 2 e 6 meses). PVPI tópico: aplicar 2x/dia após higienizaçã"
698,mantida,,"Paracetamol 500 mg VO, 1 cp 6/6h se necessário, máximo 4 g/dia. 📁 CID/CIAP Comuns Rotina: Rotina CID CIAP Descrição Puericultura Z00.1 A98 Exame geral completo Anticoncepcional Z30 W14 Orientação sobre contracepção Pré-natal Z36 W78 Supervi"
699,mantida,,"Dimenidrinato + piridoxina 50 mg – VO, 1 comp, 8/8h, se náuseas ( Categoria B"
700,mantida,,"1 comprimido, VO, a cada 12 horas, por 7 a 10 dias , preferencialmente após resultado de urocultura com antibiograma Gravidez planejada? Desejada? MUC: Participação do parceiro: sim/não Profissão: Endereço: Telefone: Escolaridade: Estado Ci"
701,mantida,via_nao_identificada,Paracetamol 500mg
702,fundida_na_linha_anterior,fragmento,": Tomar 1 comprimido, VO, de 4/4h, se dor (pode associar com prednisona 5mg VO de 12/12h se dor intensa)."
703,mantida,,"Miosan 5mg : Tomar 1 comprimido, VO, à noite, por 3 dias, se cefaleia intensa."
704,mantida,,Dipirona 500mg EV se dor intensa. Uso deve ser cauteloso devido ao risco de doenças hematológicas em filhos de mães que fizeram uso. Decadron 01 amp IM se dor intensa. Tramal 01 amp EV se dor refratária. Constipação intestinal O aumento dos
705,mantida,via_nao_identificada,"Dimeticona (40-80 mg) , de 6/6 horas, para flatulência."
706,mantida,,"Hioscina (10 mg) , de 8/8 horas, para dor abdominal. Supositório de glicerina Sintomas urinários (ITU) São frequentes durante a gestação devido a alterações hormonais e anatômicas que ocorrem no sistema urinário. A progesterona relaxa a mus"
707,mantida,,"Nitrofurantoína 100 mg: tomar 1 COMPRIMIDO, via oral, de 6/6 horas, por 7 dias. (evitar no final da gestação devido ao risco de hemólise neonatal) (B)."
708,mantida,,"Amoxicilina + Clavulanato de Potássio (500 mg + 125 mg): tomar 1 COMPRIMIDO, via oral, a cada 8 horas, por 7 a 10 dias."
709,mantida,,"Cefalexina 500 mg: tomar 1 COMPRIMIDO, via oral, a cada 6 horas, por 10 dias."
710,mantida,,"Cefuroxima 250 mg: tomar 1 COMPRIMIDO, via oral, a cada 12 horas, por 7 a 10 dias (após urocultura com antibiograma). Medicamentos Frequentes Anti-hipertensivos I. Medicamentos de Primeira Linha"
711,mantida,via_nao_identificada,"750 mg a 2.000 mg/dia, fracionada em 2 a 4 administrações diárias Dose máxima:"
712,mantida,via_nao_identificada,"2 g/dia Efeitos adversos: Hipotensão postural, sonolência, retenção hídrica Observações clínicas: – O efeito hipotensor pleno ocorre após 2 a 3 dias de uso contínuo. – Fármaco de escolha inicial para controle da hipertensão em gestantes. II"
713,mantida,via_nao_identificada,"50 mg a 150 mg/dia, fracionada em 2 a 3 administrações diárias Dose máxima:"
714,mantida,via_nao_identificada,"200 mg/dia Efeitos adversos: Cefaleia, palpitações, taquicardia reflexa Observações clínicas: – A monoterapia não é recomendada devido à taquicardia reflexa. – Pode ser associada à metildopa como terapia adjuvante."
715,mantida,via_nao_identificada,"– Doses ≥100 mg/dia, quando utilizadas cronicamente, estão associadas a risco aumentado de desenvolvimento de lúpus eritematoso sistêmico."
716,mantida,via_nao_identificada,"20 mg a 120 mg/dia, podendo ser fracionada em até 3 doses diárias Ajuste posológico: A dose pode ser titulada a cada 7 a 14 dias Dose máxima:"
717,mantida,via_nao_identificada,"120 mg/dia Efeitos adversos: Cefaleia, fadiga, tontura, edema periférico, constipação Observações clínicas: – Recomendado fracionar em 2 tomadas diárias para reduzir risco de hipotensão acentuada. – Alternativa eficaz em casos de intolerânc"
718,mantida,via_nao_identificada,"Conduta: se risco aumentado, iniciar AAS 100 mg/dia + cálcio 1g/dia (até 36 semanas) Objetivo (O) Bebê: 👧 Nome (menina) / 👶 Nome (menino) TS gestante: Se Rh – (negativo) Solicitar Coombs indireto , tipagem sanguínea e fator Rh do parceiro. "
719,mantida,,"Hioscina (10 mg) , de 8/8 horas, para dor abdominal. Supositório de glicerina ITU São frequentes durante a gestação devido a alterações hormonais e anatômicas que ocorrem no sistema urinário. A progesterona relaxa a musculatura lisa, o que "
720,mantida,"dose_nao_identificada,via_nao_identificada","28 semanas de gestação. Se parceiro Rh + ou desconhecido Repetir COOMBS INDIRETO mensalmente até 28 semanas, e quinzenalmente > 28 semanas. Se CI positivo (> 1:16) Encaminhar para PNAR para investigação de anemia fetal (pesquisa de anticorp"
721,mantida,,"Orientações Gerais ao Prescritor A conduta terapêutica deve ser individualizada conforme o desejo reprodutivo da usuária, intensidade das queixas e resposta clínica ao tratamento. O objetivo do tratamento na APS é bloquear a menstruação , r"
722,mantida,,"Didrogesterona 10 mg, 1 comprimido por via oral, a cada 24 horas, em uso contínuo. Desogestrel 75 microgramas, 1 comprimido por via oral, a cada 24 horas, em uso contínuo. Levonorgestrel (DIU), inserir dispositivo intrauterino conforme prot"
723,mantida,,"Drospirenona + etinilestradiol 3 mg + 0,02 mg, 1 comprimido por via oral, a cada 24 horas, em uso contínuo."
724,mantida,,"Desogestrel + etinilestradiol 0,15 mg + 0,03 mg, 1 comprimido por via oral, a cada 24 horas, em uso contínuo, desprezando os comprimidos placebo."
725,mantida,,"Drospirenona + etinilestradiol 3 mg + 0,03 mg, 1 comprimido por via oral, a cada 24 horas, em uso contínuo."
726,mantida,,"Levonorgestrel + etinilestradiol 0,15 mg + 0,03 mg, 1 comprimido por via oral, a cada 24 horas, em uso contínuo, desprezando os comprimidos placebo."
727,mantida,,"Ciproterona + etinilestradiol 2 mg + 0,035 mg, 1 comprimido por via oral, a cada 24 horas, em uso contínuo. Classe D – Agonista do GnRH"
728,mantida,,"Acetato de gosserrelina 3,6 mg, por via intramuscular, dose mensal,"
729,mantida,,"Acetato de gosserrelina 10,8 mg, por via intramuscular, dose trimestral. ⚠️ Não utilizar por período superior a 6 meses devido ao risco de perda de massa óssea. Síndrome dos Ovários Policísticos (SOP) Usuária em idade reprodutiva refere cic"
730,mantida,"dose_nao_identificada,via_nao_identificada","Orientações Gerais ao Prescritor A prescrição deve ser individualizada conforme queixa principal (irregularidade menstrual, hiperandrogenismo, resistência insulínica ou infertilidade) e desejo reprodutivo. Avaliar sempre contraindicações ao"
731,mantida,via_nao_identificada,Metformina 850 mg
732,mantida,,"– VO, iniciar com 1 comprimido ao dia, com progressão gradual até 850 mg de 8/8 horas, conforme tolerância gastrointestinal;"
733,mantida,via_nao_identificada,Metformina XR 500 mg
734,mantida,,"– VO, 500 a 1.000 mg de 12/12 a 24/24 horas, dose máxima de 2.000 mg/dia;"
735,mantida,via_nao_identificada,Pioglitazona 15–30 mg
736,mantida,,"– VO, dose única diária junto às refeições, podendo aumentar até 45 mg/dia. Observação: Liraglutida ou Lixisenatida podem auxiliar na perda ponderal em casos selecionados, conforme disponibilidade e protocolos locais. Tratamento Não Farmaco"
737,mantida,,"Acetato de ciproterona + etinilestradiol (2 mg + 0,035 mg) – VO, 1 comprimido ao dia;"
738,mantida,,"Drospirenona + etinilestradiol (3 mg + 0,03 mg) – VO, 1 comprimido ao dia;"
739,mantida,,"Drospirenona + etinilestradiol (3 mg + 0,02 mg) – VO, 1 comprimido ao dia. Associação em Caso de Falha após 6 Meses (Hiperandrogenismo Persistente)"
740,mantida,,"Espironolactona 50–100 mg – VO, de 12/12 horas;"
741,mantida,,"Finasterida 5 mg – VO, 1 comprimido ao dia;"
742,mantida,,"Dexametasona 0,75 mg – VO, 1 comprimido ao dia (uso restrito e criterioso). 📌 Associar sempre método contraceptivo eficaz durante uso de antiandrogênicos. Infertilidade – Manejo Inicial na APS Indutor de ovulação:"
743,mantida,,"Citrato de clomifeno 50 mg – VO, 1 comprimido ao dia por 5 dias, iniciando entre o 3º e o 5º dia do ciclo menstrual."
744,mantida,,"Em caso de insucesso, aumentar progressivamente em 50 mg por ciclo, até dose máxima de 200 mg/dia. 📌 Encaminhar para ginecologia/reprodução humana em caso de falha terapêutica, necessidade de gonadotrofinas ou indicação de técnicas de repro"
745,mantida,,"Ibuprofeno 400–600 mg – VO, 8/8h se dor, após refeições, por até 5 dias consecutivos Opção 2"
746,mantida,,"Naproxeno 500 mg – VO, 12/12h se dor, após refeições ⚠️ Evitar em pacientes com úlcera gástrica ativa, insuficiência renal ou alergia a AINE. Redução do Sangramento Uterino"
747,mantida,,"Ácido Tranexâmico 250–500 mg – VO, 1 a 2 comprimidos de 8/8h durante os dias de fluxo menstrual intenso (máx. 5 dias por ciclo) ⚠️ Contraindicado em história de trombose ativa ou alto risco trombótico. Controle Hormonal do Sangramento (se i"
748,mantida,,"Acetato de Medroxiprogesterona 10 mg – VO, 1x/dia do 15º ao 25º dia do ciclo Opção 2 – Uso contínuo"
749,mantida,,"Acetato de Medroxiprogesterona 10 mg – VO, 1x/dia contínuo, reavaliar em 3 meses Opção 3 – Anticoncepcional hormonal combinado (uso contínuo) Etinilestradiol + levonorgestrel / drospirenona / gestodeno – 1 comprimido ao dia ⚠️ Avaliar contr"
750,mantida,,"Sulfato Ferroso (40–60 mg de ferro elementar) – VO, 1 comprimido 1–2x/dia Orientações para uso do ferro oral: Administrar preferencialmente em jejum ou com intervalo de pelo menos 1 hora antes ou 2 horas após refeições. Evitar ingestão conc"
751,mantida,,"Ácido Tranexâmico 500 mg – VO, 3–4x/dia por até 4 dias durante o sangramento ⚠️ Contraindicado em história de trombose ativa. Controle da Dor e Redução do Fluxo (AINEs) Opção 1"
752,mantida,,"Ibuprofeno 600 mg – VO, 8/8h por 4–5 dias Opção 2"
753,mantida,,"Diclofenaco 50 mg – VO, 8/8h por 4–5 dias Opção 3"
754,mantida,,"Ácido mefenâmico 500 mg – VO, 8/8h por 4–5 dias Controle Hormonal do Sangramento Opção 1 – Contraceptivo oral combinado (esquema hemostático)"
755,mantida,via_nao_identificada,"Levonorgestrel + Etinilestradiol (0,15 mg + 0,03 mg)"
756,mantida,dose_nao_identificada,1 comp VO 12/12h por 7 dias → depois 1 comp/dia por 21 dias ou outras formulações equivalentes com gestodeno ou desogestrel ⚠️ Avaliar contraindicações ao estrogênio. Opção 2 – Progestagênio isolado
757,mantida,,"Acetato de Medroxiprogesterona 10–20 mg – VO, de 4/4h até cessar sangramento, depois reduzir progressivamente"
758,mantida,,"Noretisterona 5–10 mg – VO, de 4/4h até cessar sangramento, depois reduzir progressivamente Opção de Longo Prazo DIU com Levonorgestrel (SIU-LNG) – Inserção por profissional habilitado Tratamento da Anemia Ferropriva (se confirmada)"
759,mantida,,"Sulfato Ferroso (40–60 mg de ferro elementar) – VO, 1 comprimido 1–2x/dia Orientações para uso do ferro oral: Administrar preferencialmente em jejum ou com intervalo de pelo menos 1 hora antes ou 2 horas após refeições. Evitar ingestão conc"
760,mantida,conduta_sem_medicamento,"3. RASTREAMENTO E PREVENÇÃO Citopatológico – PCCU S – Subjetivo Nome: Data de Nascimento: CNS: CPF: Prontuário: Paciente de 36 anos, G2P2A0, menarca aos 12 anos, sexarca aos 17. Nega queixas atuais. Refere última menstruação há 15 dias, com"
761,mantida,,"Metformina 500 mg Tomar 1 comprimido VO 2x/dia após as principais refeições Reavaliar tolerância gastrintestinal e ajustar dose se necessário DM2 com HbA1c <7,5% e sobrepeso/obesidade S – Subjetivo"
762,mantida,via_nao_identificada,"Paciente de ___ anos, com sobrepeso (IMC 31), relata dificuldade para perder peso. Adere parcialmente ao plano alimentar. Glicemia de jejum média de 125–130 mg/dL. Nega episódios de hipoglicemia. O – Objetivo PA: / mmHg | IMC: AR: MV presen"
763,mantida,,Metformina 500 mg Tomar 1 comprimido VO 2x/dia após refeições Reavaliar em 3 meses
764,mantida,conduta_sem_medicamento,"➡️ Aumentar dose para 850–1000 mg se tolerado DM2 com HbA1c ≥7,5% – Terapia dupla oral S – Subjetivo"
765,mantida,,"Paciente com adesão irregular. Relata glicemias elevadas no pós-prandial (>200 mg/dL). Dificuldade para seguir dieta e rotina de exercícios. Nega hipoglicemias. IMC: O – Objetivo HbA1c: AR: MV presente bilateralmente, sem RA, sem sinais de "
766,mantida,,"Metformina 850 mg: Tomar 1 comprimido VO 2x/dia, após refeições"
767,mantida,,"Gliclazida MR 30 mg: Tomar 1 comprimido VO pela manhã ➡️ Avaliar risco de hipoglicemia e suspender se iniciar insulina DM2 com HbA1c ≥7,0% após 3 meses – Início de Insulina S – Subjetivo"
