linha_original,acao,motivo,texto
419,mantida,via_nao_identificada,"Cloridrato de Betaistina 8 mg - cp Tomar 01 cp, de 8/8h, até consulta com Otorrino/Neuro. OU Diurético tiazídico"
420,mantida,via_nao_identificada,"Hidroclorotiazida 25 mg - cp Tomar 01 cp, 1 vez ao dia, até consulta com Otorrino/Neuro."
421,mantida,via_nao_identificada,"Metoclopramida 10 mg - cp Tomar 01 cp, de 8/8h, se náusea ou vômitos OU"
422,mantida,via_nao_identificada,"Ondansetrona 8 mg - cp Tomar 01 cp, de 8/8h, se náusea ou vômitos Supressor vestibular"
423,mantida,via_nao_identificada,"Dimenidrato 50 mg - cp Tomar 01 cp, de 6/6h, por até 03 dias Benzodiazepínico"
424,mantida,via_nao_identificada,"Clonazepam 0,5 mg - cp Tomar 01 cp, de 12/12h, se vertigem persistir após dimenidrato"
425,mantida,via_nao_identificada,Prednisona 20mg - cp Tomar 03 cp por 5 dias (60 mg).
426,fundida_na_linha_anterior,fragmento,dia: 2 cp inteiros + metade de 01 cp (50 mg)
427,fundida_na_linha_anterior,fragmento,dia: 2 cp inteiros (40 mg)
428,fundida_na_linha_anterior,fragmento,dia: 1 cp inteiro + metade de 01 cp (30 mg)
429,fundida_na_linha_anterior,fragmento,dia: 1 cp inteiro (20 mg)
430,fundida_na_linha_anterior,fragmento,dia: metade de 01 cp (10 mg) Se lesões herpéticas
431,mantida,via_nao_identificada,"Aciclovir 400mg - cp Tomar 02 cp, de 4/4h, 5x ao dia, por 7 dias Horários: 06h - 10h - 14h - 18h - 22h"
432,mantida,via_nao_identificada,"Metoclopramida 10 mg - cp Tomar 01 cp, de 8/8h, se náusea ou vômitos OU"
433,mantida,via_nao_identificada,"Ondansetrona 8 mg - cp Tomar 01 cp, de 8/8h, se náusea ou vômitos Supressor vestibular"
434,mantida,via_nao_identificada,"Dimenidrato 50 mg - cp Tomar 01 cp, de 6/6h, por até 03 dias Benzodiazepínico"
435,mantida,via_nao_identificada,"Clonazepam 0,5 mg - cp Tomar 01 cp, de 12/12h, se vertigem persistir após dimenidrato Receita de Alta"
436,mantida,,"Vancomicina 1g - EV , de 12/12h"
437,mantida,,"Ceftriaxone 1g - EV, de 12/12h se suspeita de acometimento de SNC, associar:"
438,mantida,,"Metronidazol 500 mg - EV, de 8/8h"
439,mantida,conduta_sem_medicamento,Internação
440,mantida,conduta_sem_medicamento,Avaliação de oftalmo e otorrino
441,mantida,conduta_sem_medicamento,Antibioticoterapia EV
442,mantida,conduta_sem_medicamento,Jejum
443,mantida,conduta_sem_medicamento,Controle de sintomas
444,mantida,via_nao_identificada,"Amoxicilina+clavulanato (875+125mg) - cp Tomar 01 cp, de 12/12h, por 10 dias"
445,mantida,,"Ibuprofeno 600 mg - cp Tomar 01 cp, de 8/8h, por 05 dias SUSPEITA DE MRSA USO ORAL"
446,mantida,via_nao_identificada,"Sulfametoxazol + Trimetoprima 800+160mg, 12/12h OU Clindamicina 300mg, 6/6h; Associado a:"
447,mantida,via_nao_identificada,"Amoxicilina+clavulanato 875+125mg 12/12h OU Cefuroxima 500mg, 12/12h"
448,mantida,,"Lacrifilm (carmelose sódica) - colírio Aplicar 3 gts no olho afetado, 6x ao dia, até consulta com Oftalmologista Antihistamínico tópico"
449,mantida,,"Olopatadina 0,1% - colírio Aplicar 1 gota nos dois olhos, de 12/12h, até consulta com Oftalmologista Orientações"
450,mantida,,"Lacrifilm (carmelose sódica) - colírio Aplicar 3 gts no olho afetado, 6x ao dia, até resolução do quadro Antibiotico tópico"
451,mantida,,"Tobramicina (Tobrex) 0,3% - solução oftálmica Aplicar 1 gota em olho afetado, de 6/6 h, por 7 dias. Orientações Realizar compressas frias sobre as pálpebras, várias vezes ao dia Lavar os olhos com SF 0,9% gelado várias vezes ao dia."
452,mantida,,"Lacrifilm (carmelose sódica) - colírio Aplicar 3 gts no olho afetado, 6x ao dia, até resolução do quadro. . Orientações Realizar compressas frias sobre as pálpebras, várias vezes ao dia Lavar os olhos com SF 0,9% gelado várias vezes ao dia."
453,mantida,,Colírio anestésico: Cloridrato de proximetacaína 0.5% - 02 gotas
454,mantida,"dose_nao_identificada,via_nao_identificada",Irrigação abundante Lavagem com SF 0.9% Fragmentos superficias podem ser removidos durante a própria lavagem
455,mantida,"dose_nao_identificada,via_nao_identificada",Inspeção minuciosa Eversão de pálpebras superior e inferior
456,mantida,dose_nao_identificada,"Avaliar remoção de corpo estranho Supercial: tentativa de remoção com cotonete Aderido: encaminhamento oftalmológico OBS: Em caso de suspeita de perfuração ocular, não devem ser feitas aplicação de colírio, irrigação e manipulação ocular. M"
457,mantida,,"Tobramicina 0,3% - solução oftálmica Aplicar 1 gota em olho afetado"
458,mantida,conduta_sem_medicamento,Encaminhar para emergência oftalmológica SE PERFURAÇÃO OCULAR
459,mantida,conduta_sem_medicamento,Avaliação oftalmológica urgente
460,mantida,dose_nao_identificada,Proteção ocular não oclusiva
461,mantida,,Ciprofloxacino 400 mg - EV
462,mantida,,Morfina(1mg/1ml) + 9ml de AD - 4ml EV
463,mantida,,Ondansetrona 8mg - EV
464,mantida,,"Lacrifilm (carmelose sódica) - colírio Aplicar 3 gts no olho afetado, 6x ao dia, por"
465,mantida,dose_nao_identificada,dias. Antibiotico tópico
466,mantida,,"Tobramicina (Tobrex) 0,3% - solução oftálmica Aplicar 1 gota em olho afetado, de 6/6 h, por 7 dias. Em caso de dúvida se houve perfuração, maneje sempre como perfuração ocular e encaminhe com urgência ao oftalmologista"
467,mantida,dose_nao_identificada,Medidas de orientações gerais são suficientes HORDÉOLO USO OCULAR Antibiotico tópico
468,mantida,,"Tobracin 0,3% Pomada Oftálmica 3,5g Aplicar fina camada em saco conjuntival, 3 vezes ao dia, por 05 dias. Receita de Alta"
469,mantida,via_nao_identificada,Manitol 20% 200mg/ml
470,fundida_na_linha_anterior,fragmento,",5 - 2 g/kg, EV Inibidor da anidrase carbônica"
471,mantida,,"Acetazolamida 250 mg cp Ataque: 500 mg (2cp) VO Manutenção: 250 mg (1cp), de 6/6h Manejo inicial Conduta no PS"
472,mantida,conduta_sem_medicamento,Avaliação oftalmológica urgente
473,mantida,"dose_nao_identificada,via_nao_identificada",Não atrasar o manejo inicial se encaminhamento não for imediato
474,mantida,conduta_sem_medicamento,Controle de sintomas
475,mantida,dose_nao_identificada,Pilocarpina 2% colírio
476,mantida,,ciclo: 1 gota de 15/15 min (3 vezes)
477,mantida,,ciclo: 1 gota de 1/1h (3 vezes)
478,mantida,,ciclo: 1 gota de 6/6h Beta blqueador
479,mantida,dose_nao_identificada,"Maleato de Timolol 0,1% - colírio"
480,mantida,dose_nao_identificada,"gota, de 12/12h Corticoide tópico"
481,mantida,dose_nao_identificada,"Acetato de Prednisolona 0,1% - colírio"
482,mantida,dose_nao_identificada,"gota, de 2/2h nas primeiras 24h Manejo inicial"
483,mantida,,Ondansetrona 8 mg - EV Se náusea ou vômito Analgesia
484,mantida,,"Morfina (1mg/1ml) + 9 ml de AD Fazer 4ml EV Manejo inicial Dicas Rápidas O tratamento medicamentoso interrompe a crise em grande parte dos casos nas primeiras horas, usualmente acompanhado de: Redução na PIO Miose Diminuição do edema cornea"
485,mantida,,"Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30 min"
486,mantida,,"Tramadol 50 mg + SF 0,9% 100 ml - EV em 30 min, se dor muito intensa Se contraindicação ao AINE"
487,mantida,,"Dexametasona 10 mg - EV lento As manifestações iniciais da gota tipicamente se apresentam como podagra, caracterizadas por dor intensa, calor local, eritema e edema na articulação metatarsofalângica do hálux."
488,mantida,via_nao_identificada,"Colchicina 0,5mg - cp Dia 1: tomar 02 cp. Após 1h, tomar mais 01 cp Dia 2 em diante: tomar 01 cp, de 12/12h, até melhora do quadro ou até diarreia"
489,mantida,via_nao_identificada,"Naproxeno 250 mg - cp Tomar 01 cp, de 12/12h, por 05 dias Proteção gástrica"
490,mantida,via_nao_identificada,"Omeprazol 20mg - cp Tomar 01 cp, em jejum pela manhã, por 07 dias Se contraindicação ao AINE e/ou colchicina"
491,mantida,via_nao_identificada,"Prednisona 20 mg - cp Tomar 02 cp por 03 dias. Após, tomar meio comprimido por mais 03 dias."
492,mantida,,Dipirona 1 g - EV lento AINE
493,mantida,,"Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30 min Opioide"
494,mantida,,"Tramadol 50 mg + SF 0,9% 100 ml - EV em 30 min, se dor muito intensa Relaxante muscular"
495,mantida,,"Tiocolchicolsídeo 2mg/2ml - 01 ampola, IM"
496,mantida,via_nao_identificada,"Dipirona 500 mg - cp Tomar 02 cp, de 6/6h, por 05 dias AINE"
497,mantida,via_nao_identificada,"Ibuprofeno 600 mg - cp Tomar 01 cp, de 8/8h, por 05 dias Opidóide"
498,mantida,via_nao_identificada,"Tramadol 50 mg - cp Tomar 01 cp, de 8/8h, se dor muito intensa Relaxante muscular"
499,mantida,via_nao_identificada,"Ciclobezaprina 5 mg - cp Tomar 01 cp, de 12/12h, por 05 dias"
500,mantida,,"Omcilon-A Orabase (triancinolona) - pomada Aplicar nas lesões, 3x ao dia, após refeições, por 07 dias Analgesia tópica"
501,mantida,,"Bismu-Jet (neomicina + bismuto e sódio + procaína) Pingar 02 gotas nas lesões, 3 vezes ao dia, por 07 dias Se xerostomia associada"
502,mantida,,Kin Hidrat 40ml - Spray Oral Pulverize na boca quantas vezes forem necessárias
503,mantida,"dose_nao_identificada,via_nao_identificada",Compressão manual e cabeça inclinada para frente (5-10 min)
504,mantida,"dose_nao_identificada,via_nao_identificada","SF 0.9 % gelado: irrigação, remoção de coágulos e localização do sangramento"
505,mantida,"dose_nao_identificada,via_nao_identificada",Instilar cloridrato de oximetazolina
506,mantida,,Algodão embebido em Adrenalina + Lidocaína Solução de 10 ampolas de adrenalina + 10 ml de lidocaína Molhar o algodão na solução e remover o excesso Manter o algodão na fossa nasal por 10-15 min
507,mantida,"dose_nao_identificada,via_nao_identificada",Cauterização química com bastão de nitrato de prata Evite cauterização bilateral do septo Aplique cuidadosamente o nitrato de prata apenas na mucosa Comece na área ao redor e depois na fonte do sangramento
508,mantida,dose_nao_identificada,Tamponamento nasal anterior com dedo de luva + gaze ou dispositivo próprio (Merocel) Lubrificar com lidocaína Manter por 24h - 48h
509,mantida,conduta_sem_medicamento,F):
510,mantida,"dose_nao_identificada,via_nao_identificada",Alguns cortam a ponta além do balão (pode estimular o reflexo de vômito).
511,mantida,dose_nao_identificada,Lubrifique o terço distal do cateter com gel de lidocaína.
512,mantida,dose_nao_identificada,Avance a ponta de Foley ao longo do assoalho nasal até que a extremidade seja vista na orofaringe posterior.
513,mantida,dose_nao_identificada,Infle com ar (< 10 cc para evitar necrose por pressão) e depois retraia contra a coana nasal posterior.
514,mantida,dose_nao_identificada,"Fixe na asa nasal, com acolchoamento para evitar lesões por pressão."
515,mantida,conduta_sem_medicamento,Avaliação urgente com Otorrinolaringologia
516,mantida,via_nao_identificada,"Dipirona 500mg - cp Tomar 02 cp, de 6/6h, se dor ou febre Antiinflamatório"
517,mantida,via_nao_identificada,"Nimesulida 100 mg - cp Tomar 01 cp, de 12/12h, por 05 dias Anestésico local"
518,mantida,via_nao_identificada,"Neopiridin (benzocaína + cetilpiridíneo) Dissolver 01 cp na boca, de 8/8h, por 03 dias"
519,mantida,via_nao_identificada,"Dipirona 500mg - cp Tomar 02 cp, de 6/6h, se dor ou febre Antiinflamatório"
520,mantida,via_nao_identificada,"Nimesulida 100 mg - cp Tomar 01 cp, de 12/12h, por 05 dias Anestésico local"
521,mantida,via_nao_identificada,"Neopiridin (benzocaína + cetilpiridíneo) Dissolver 01 cp na boca, de 8/8h, por 03 dias Antibioticoterapia"
522,mantida,via_nao_identificada,"Amoxicilina 500 mg - cp Tomar 01 cp, de 8/8h, por 10 dias"
523,mantida,,"OTOCIRIAX (ciprofloxacino+hidrocortisona) - suspensão Pingar 3 gotas na orelha afetada, de 12/12h, por 07 dias. Receita de Alta"
524,mantida,via_nao_identificada,"Dipirona 500mg - cp Tomar 02 cp, de 6/6h, se dor ou febre Antiinflamatório"
525,mantida,via_nao_identificada,"Nimesulida 100 mg - cp Tomar 01 cp, de 12/12h, por 05 dias Antibioticoterapia"
526,mantida,via_nao_identificada,"Amoxicilina 500 mg - cp Tomar 01 cp, de 8/8h, por 10 dias Receita de Alta"
527,mantida,,"Loratadina 10 mg - cp Tomar 01 cp, 1x ao dia, por 05 dias USO TÓPICO Lavagem nasal"
528,mantida,dose_nao_identificada,"Soro Fisiológico 0.9% Lavar o nariz, 6 vezes ao dia, com soro morno Corticoide tópico"
529,mantida,,"Budesonida 50 mcg - spray nasal Aplicar 1 jato em cada narina, de 12/12 horas, por 10 dias. Se prurido ocular associado"
530,mantida,,"Olopatadina 0,1% - colírio Aplicar 1 gota nos dois olhos, de 12/12h, por 05 dias Receita de Alta"
531,mantida,via_nao_identificada,"Nimesulida 100 mg - cp Tomar 01 cp, de 12/12h, por 05 dias Se rinite associada"
532,mantida,,"Loratadina 10 mg - cp Tomar 01 cp, 1x ao dia, por 05 dias USO TÓPICO Lavagem nasal"
533,mantida,"dose_nao_identificada,via_nao_identificada","Soro Fisiológico 0.9% Lavar o nariz, 6 vezes ao dia, com soro morno Se rinite associada"
534,mantida,,"Budesonida 50 mcg - spray nasal Aplicar 1 jato em cada narina, de 12/12 horas, por 10 dias."
535,mantida,via_nao_identificada,"Nimesulida 100 mg - cp Tomar 01 cp, de 12/12h, por 05 dias Se rinite associada"
536,mantida,via_nao_identificada,"Loratadina 10 mg - cp Tomar 01 cp, 1x ao dia, por 05 dias Antibioticoterapia"
537,mantida,via_nao_identificada,"Amoxacilina+Clavulanato (875/125mg) – cp Tomar 01 cp, de 12/12h por 7 dias OU"
538,mantida,via_nao_identificada,"Levofloxacino 750mg – cp Tomar 01 cp, 1x ao dia, por 7 dias"
539,mantida,"dose_nao_identificada,via_nao_identificada","Soro Fisiológico 0.9% Lavar o nariz, 6 vezes ao dia, com soro morno Se rinite associada"
540,mantida,,"Budesonida 50 mcg - spray nasal Aplicar 1 jato em cada narina, de 12/12 horas, por 10 dias. SINAIS SUGESTIVOS DE ORIGEM BACTERIANA Sintomas > 10 dias Dupla piora (sinais vinham melhorando, com nova piora após 4-5 dias) Rinorreia purulenta D"
541,mantida,via_nao_identificada,Salbutamol 100 mcg/dose
542,mantida,conduta_sem_medicamento,"10 puffs, a cada 20 min, em 1 hora"
543,mantida,via_nao_identificada,Ipratrópio 200 mcg/dose
544,mantida,conduta_sem_medicamento,"10 puffs, a cada 20 min, em 1 hora Se nebulização"
545,mantida,via_nao_identificada,Salbutamol 5 mg/ml
546,mantida,,"gotas em 5 ml de SF 0,9 % Inalar a cada 20 min, em 1 hora"
547,mantida,via_nao_identificada,"Ipratrópio 0,25 mg/ml"
548,mantida,,"gotas em 5 ml de SF 0,9 % Inalar a cada 20 min, em 1 hora Conduta no PS"
549,mantida,,"Prednisona 20 mg - cp Tomar 02 cp, via oral Se muito agitado"
550,mantida,,"Hidrocortisona 100 mg/frasco Diluir 2 frascos em 50 ml de SF 0,9 % - EV lento OU Metilprednisolona 125 mg/ 2 ml Diluir 01 ml em 50 ml de SF 0,9 % - EV lento Conduta no PS"
551,mantida,,"Sulfato de Mg 50% (5g/10ml) Diluir 4ml em 100 ml de SF 0.9 % - EV em 30 min ou Sulfato de Mg 10% (1g/10 ml) Diluir 20 ml em 100 ml de SF 0,9 % - EV em 30 min Intubação Orotraqueal Considerar se: Rebaixamento do nível de consciência Acidose "
552,mantida,,"Prednisona 20mg - cp Tomar 02 cp, 1x ao dia, por 5 dias. USO INALATÓRIO LABA + Corticoide"
553,mantida,,"Alenia formoterol + budesonida (12+400mcg) Fazer uma inalação, de 12/12h, até consulta ambulatorial SABA - se nova crise (SOS)"
554,mantida,,"Salbutamol 100 mcg/dose Inalar 02 (dois) jatos, em caso de falta de ar ou chiado. Pode repetir a cada 4 horas, se necessário."
555,mantida,via_nao_identificada,Salbutamol 100 mcg/dose
556,mantida,conduta_sem_medicamento,"10 puffs, a cada 20 min, em 1 hora"
557,mantida,via_nao_identificada,Ipratrópio 200 mcg/dose
558,mantida,conduta_sem_medicamento,"10 puffs, a cada 20 min, em 1 hora Se nebulização"
559,mantida,via_nao_identificada,Salbutamol 5 mg/ml
560,mantida,,"gotas em 5 ml de SF 0,9 % Inalar a cada 20 min, em 1 hora"
561,mantida,via_nao_identificada,"Ipratrópio 0,25 mg/ml"
562,mantida,,"gotas em 5 ml de SF 0,9 % Inalar a cada 20 min, em 1 hora Conduta no PS"
563,mantida,,"Prednisona 20 mg - cp Tomar 02 cp, via oral Se muito agitado"
564,mantida,,"Hidrocortisona 100 mg/frasco Diluir 2 frascos em 50 ml de SF 0,9 % - EV lento OU Metilprednisolona 125 mg/ 2 ml Diluir 01 ml em 50 ml de SF 0,9 % - EV lento Conduta no PS"
565,mantida,dose_nao_identificada,O2 Cateter nasal baixo fluxo (1-3 L/minuto) Máscara de Venturi com FiO2 de até 50% VNI
566,mantida,"dose_nao_identificada,via_nao_identificada",Indicações de VNI em BIPAP: Acidose respiratória (PaCO2 > 45 mmHg e pH <
567,fundida_na_linha_anterior,fragmento,",35) Dispneia severa com sinais de esforço respiratório Hipoxemia a despeito da oxigenioterapia IOT"
568,mantida,"dose_nao_identificada,via_nao_identificada",Indicações de IOT: Falha de VNI (ou não tolerância); Pós PCR; Rebaixamento do nível de consciência ou agitação psicomotora (não revertida com sedativos); Aspiração importante ou vômitos persistentes; Instabilidade hemodinâmica (não revertid
569,mantida,via_nao_identificada,"Prednisona 20mg - cp Tomar 02 cp, 1x ao dia, por 5 dias. Antibioticoterapia"
570,mantida,via_nao_identificada,"Amoxicilina + Clavulanato 875mg+125mg - cp Tomar 01 cp, de 12/12h, por 07 dias OU Azitromicina 500m - cp Tomar 01 cp, uma vez ao dia, por 05 dias OU Claritromicina 500mg - cp Tomar 01 cp, de 12/12h, por 07 dias OU Levofloxacino 500mg - cp T"
571,mantida,,"Tiotrópio (18mcg/cápsula) Inalar o conteúdo de 1 cápsula, 1x/dia. Combinação LAMA + LABA (preferido na maioria dos casos de alta após exacerbação)"
572,mantida,,"Glicopirrônio + Indacaterol (50mcg + 110mcg) Inalar o conteúdo de 1 cápsula, 1x/dia. ou"
573,mantida,,"Umeclidínio + Vilanterol (62,5mcg + 25mcg) Inalar 1 dose, 1x/dia."
574,mantida,,"Clenil - Beclometasona 250 mcg/dose Fazer uma inalação, de 12/12h, até consulta ambulatorial SABA - se nova crise (SOS)"
575,mantida,,"Salbutamol 100 mcg/dose Inalar 02 (dois) jatos, em caso de falta de ar ou chiado. Pode repetir a cada 4 horas, se necessário."
576,mantida,via_nao_identificada,"Amoxacilina+Clavulanato (875/125mg) – cp Tomar 01 cp, de 12/12h por 10 dias OU Claritromicina 500 mg - cp Tomar 01 cp, de 12/12h, por 10 dias OU Azitromicina 500 mg - cp Tomar 01 cp, 1x ao dia, por 10 dias Receita de Alta"
577,mantida,via_nao_identificada,"Amoxacilina+Clavulanato (875/125mg) – cp Tomar 01 cp, de 12/12h por 10 dias +"
578,mantida,via_nao_identificada,"Azitromicina 500 mg - cp Tomar 01 cp, 1x ao dia, por 10 dias OU"
579,mantida,via_nao_identificada,"Levofloxacino 750 mg - cp Tomar 01 cp, 1x ao dia, por 10 dias Receita de Alta"
580,mantida,,ponto U (Ureia Elevada) Ureia > 7 mmol/L (ou ≈ 19 mg/dL)
581,mantida,conduta_sem_medicamento,ponto R (Frequência Respiratória) FR ≥ 30/minuto
582,mantida,conduta_sem_medicamento,ponto B (Pressão Arterial Baixa) PAS < 90 mmHg ou PAD ≤ 60 mmHg
