nome,principio_ativo,apresentacao,fonte,status,unidade,atualizado_em,sudoeste,noroeste,caf
Levomepromazina 100 mg comprimido,Levomepromazina,100 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levomepromazina 25 mg comprimido,Levomepromazina,25 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levomepromazina 40mg/ml solução oral frasco com 20 ml,Levomepromazina,40mg/ml solução oral frasco com 20 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Levonorgestrel + Etinilestradiol 0,15 mg + 0,03 mg",Levonorgestrel + Etinilestradiol,"0,15 mg + 0,03 mg",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levotiroxina sódica comprimido 100 mcg,Levotiroxina sódica,comprimido 100 mcg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levotiroxina sódica comprimido 25 mcg,Levotiroxina sódica,comprimido 25 mcg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levotiroxina sódica comprimido 50 mcg,Levotiroxina sódica,comprimido 50 mcg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Levotiroxina sódica comprimido 75 mcg,Levotiroxina sódica,comprimido 75 mcg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Loratadina comprimido 10 mg,Loratadina,comprimido 10 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Loratadina xarope 1 mg/mL , frasco com 100 ml",Loratadina,"xarope 1 mg/mL , frasco com 100 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Losartana potássica comprimido 50 mg,Losartana potássica,comprimido 50 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Medroxiprogesterona ac. + Estradiol cip. 25mg+5mg/0,5ml sol. injetável ampola com 1ml",Medroxiprogesterona ac. + Estradiol cip.,"25mg+5mg/0,5ml sol. injetável ampola com 1ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Medroxiprogesterona, acetato de solução injetável 150 mg/mL , ampola com 1 ml","Medroxiprogesterona, acetato de","solução injetável 150 mg/mL , ampola com 1 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Metformina, cloridrato de comprimido 500 mg","Metformina, cloridrato de",comprimido 500 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Metformina, cloridrato de comprimido 850 mg","Metformina, cloridrato de",comprimido 850 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Metildopa comprimido 250 mg,Metildopa,comprimido 250 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Metilfenidato comprimido 10mg,Metilfenidato,comprimido 10mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Metoprolol, succinato de, comprimido de liberação controlada 100 mg","Metoprolol, succinato de",comprimido de liberação controlada 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Metoprolol, succinato de, comprimido de liberação controlada 25 mg","Metoprolol, succinato de",comprimido de liberação controlada 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Metoprolol, succinato de, comprimido de liberação controlada 50 mg","Metoprolol, succinato de",comprimido de liberação controlada 50 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Metronidazol (benzoilmetronidazol) suspensão oral 40 mg/mL , frasco com 100 ml",Metronidazol (benzoilmetronidazol),"suspensão oral 40 mg/mL , frasco com 100 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Metronidazol comprimido 250 mg,Metronidazol,comprimido 250 mg,SUS-Assis,disponivel,CAF,2026-07-05,em_falta,em_falta,disponivel
"Metronidazol gel vaginal 100mg/g, tubo com 50 g + aplicador",Metronidazol gel vaginal,"100mg/g, tubo com 50 g + aplicador",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Naltrexona, cloridrato de, comprimido 50 mg","Naltrexona, cloridrato de",comprimido 50 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Neomicina, sulf. de + Fluocinolona + Polim. B + Lidocaína sol. otológica frasco com 10 ml","Neomicina, sulf. de + Fluocinolona + Polim. B + Lidocaína sol. otológica",frasco com 10 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Neomicina, sulfato de + bacitracina 5 mg + 250 UI pomada dermatológica tubo com 15 g","Neomicina, sulfato de + bacitracina",5 mg + 250 UI pomada dermatológica tubo com 15 g,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Nifedipino comprimido 20 mg,Nifedipino,comprimido 20 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Nimesulida comprimido 100 mg,Nimesulida,comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Nirmatrelvir/Ritomavir 150mg/100mg comprimido,Nirmatrelvir/Ritomavir,150mg/100mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Nistatina creme vaginal 100.000 UI/ 4g tubo com 60 g + aplicador,Nistatina,creme vaginal 100.000 UI/ 4g tubo com 60 g + aplicador,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Nistatina suspensão oral 100.000 UI/mL, frasco com 50 ml",Nistatina,"suspensão oral 100.000 UI/mL, frasco com 50 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Nitrazepam comprimido 5 mg,Nitrazepam,comprimido 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Nitrofurantoína cápsula 100 mg,Nitrofurantoína,cápsula 100 mg,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
"Noretisterona comprimido 0,35 mg",Noretisterona,"comprimido 0,35 mg",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Noretisterona, en. de + estradiol, val. de sol. Inj. 50 mg + 5 mg , seringa com 1 ml","Noretisterona, en. de + estradiol, val. de sol. Inj.","50 mg + 5 mg , seringa com 1 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Norfloxacino comprimido 400 mg,Norfloxacino,comprimido 400 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Nortriptilina, cloridrato de, cápsula 25 mg","Nortriptilina, cloridrato de",cápsula 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Óleo mineral frasco 100 mL,Óleo mineral,frasco 100 mL,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Omeprazol cápsula 20 mg,Omeprazol,cápsula 20 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Ondansetrona, Cloridrato - Comprimido 4mg","Ondansetrona, Cloridrato -",Comprimido 4mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Ondansetrona, Cloridrato - Comprimido 8mg","Ondansetrona, Cloridrato -",Comprimido 8mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
OSELTAMIVIR 30mg,OSELTAMIVIR,30mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
OSELTAMIVIR 45mg,OSELTAMIVIR,45mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
OSELTAMIVIR 75mg,OSELTAMIVIR,75mg,SUS-Assis,disponivel,SUDOESTE,2026-07-05,disponivel,em_falta,em_falta
"Oxido de zinco + colecalciferol + retinol, pomada dermatologica tubo com 45 g",Oxido de zinco + colecalciferol + retinol,pomada dermatologica tubo com 45 g,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Paracetamol comprimido 500 mg,Paracetamol,comprimido 500 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Paracetamol solução oral 200 mg/mL , frasco com 15 ml",Paracetamol,"solução oral 200 mg/mL , frasco com 15 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Passiflora (Passiflora incarnata) cápsula ou comprimido 260mg,Passiflora (Passiflora incarnata),cápsula ou comprimido 260mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Periciazina solução oral 1%, frasco com 20 ml",Periciazina,"solução oral 1%, frasco com 20 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Periciazina solução oral 4%, frasco com 20 ml",Periciazina,"solução oral 4%, frasco com 20 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Permetrina 5mg/g (5%) Loção,Permetrina,5mg/g (5%) Loção,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Pirimetamina comprimido 25 mg,Pirimetamina,comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Plantago (Plantago ovata Forssk) envelope com 3,5g",Plantago (Plantago ovata Forssk) envelope com,"3,5g",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Polivitamínicos + Sais minerais comprimido,Polivitamínicos + Sais minerais,comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Prednisolona 1% colirio frasco com 5 ml,Prednisolona 1%,colirio frasco com 5 ml,SUS-Assis,disponivel,SUDOESTE,2026-07-05,disponivel,em_falta,em_falta
"Prednisolona, fostato sódico de, solução oral 3mg/ml, frasco com 60 ml","Prednisolona, fostato sódico de","solução oral 3mg/ml, frasco com 60 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Prednisona comprimido 20 mg,Prednisona,comprimido 20 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Prednisona comprimido 5 mg,Prednisona,comprimido 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Prometazina comprimido 25mg,Prometazina,comprimido 25mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Propafenona, cloridrato de comprimido 300 mg","Propafenona, cloridrato de",comprimido 300 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Propatilnitrato comprimido 10 mg,Propatilnitrato,comprimido 10 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Propiltiouracila comprimido 100 mg,Propiltiouracila,comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Propranolol, cloridrato de comprimido 40 mg","Propranolol, cloridrato de",comprimido 40 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Protetor Solar FPS 50 frasco com 100ml,Protetor Solar FPS 50,frasco com 100ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ramipril comprimido sulcado 5 mg,Ramipril,comprimido sulcado 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Retinol, acetato de, 50.000UI + colecalciferol 10.000UI, frasco gotejador com 10ml","Retinol, acetato de","50.000UI + colecalciferol 10.000UI, frasco gotejador com 10ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Risperidona 2 mg,Risperidona,2 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Sais para reidratação oral pó para solução oral, envelope com 27,9 g",Sais para reidratação oral,"pó para solução oral, envelope com 27,9 g",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Salbutamol, sulfato de, aerossol, 100 mcg/dose","Salbutamol, sulfato de","aerossol, 100 mcg/dose",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Secnidazol comprimido 1000mg,Secnidazol,comprimido 1000mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Sertralina comprimido 50 mg,Sertralina,comprimido 50 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Sinvastatina comprimido 20 mg,Sinvastatina,comprimido 20 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Sinvastatina comprimido 40 mg,Sinvastatina,comprimido 40 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Sulfadiazina de prata creme 1%, tubo com 30 g",Sulfadiazina de prata,"creme 1%, tubo com 30 g",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Sulfametoxazol + trimetoprima comprimido 400 mg + 80 mg,Sulfametoxazol + trimetoprima,comprimido 400 mg + 80 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Sulfametoxazol + trimetoprima suspensão oral 40 mg + 8 mg/mL, frasco com 100 ml",Sulfametoxazol + trimetoprima,"suspensão oral 40 mg + 8 mg/mL, frasco com 100 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Sulfato ferroso comprimido 40 mg Fe ++,Sulfato ferroso,comprimido 40 mg Fe ++,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Sulfato ferroso solução oral 25 mg/mL Fe ++, frasco com 30 ml",Sulfato ferroso,"solução oral 25 mg/mL Fe ++, frasco com 30 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Tiamina, cloridrato de comprimido 300 mg","Tiamina, cloridrato de",comprimido 300 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Tioridazina comprimido 100 mg,Tioridazina,comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Tobramicina 0,3% colirio frasco com 5 ml","Tobramicina 0,3%",colirio frasco com 5 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Tramadol, cloridrato de, cápsula 50 mg","Tramadol, cloridrato de",cápsula 50 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Tramadol, cloridrato de, solução oral 100mg/ml frasco com 15 ml","Tramadol, cloridrato de",solução oral 100mg/ml frasco com 15 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Varfarina sódica comprimido 5 mg,Varfarina sódica,comprimido 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Verapamil, cloridrato de comprimido 80 mg","Verapamil, cloridrato de",comprimido 80 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Zinco, Sulfato - Xarope 4mg/ml frasco 100ml","Zinco, Sulfato -",Xarope 4mg/ml frasco 100ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
